iter,exp_value,best_result,iter_time
0,15.839301109313965,null,2.359098196029663
1,14.063218116760254,"{""step"": 0, ""energy"": 15.839301109313965}",2.355933904647827
2,13.585939407348633,"{""step"": 1, ""energy"": 14.063218116760254}",2.389089822769165
3,13.434870719909668,"{""step"": 2, ""energy"": 13.585939407348633}",2.3517096042633057
4,13.353370666503906,"{""step"": 3, ""energy"": 13.434870719909668}",2.3445885181427
5,13.29841423034668,"{""step"": 4, ""energy"": 13.353370666503906}",2.3498263359069824
6,13.257287979125977,"{""step"": 5, ""energy"": 13.29841423034668}",2.3655495643615723
7,13.223834991455078,"{""step"": 6, ""energy"": 13.257287979125977}",2.3443169593811035
8,13.194662094116211,"{""step"": 7, ""energy"": 13.223834991455078}",2.3448262214660645
9,13.167854309082031,"{""step"": 8, ""energy"": 13.194662094116211}",2.3909244537353516
