iter,exp_value,best_result,iter_time
0,22.057029724121094,null,4.575645685195923
1,19.97610855102539,"{""step"": 0, ""energy"": 22.057029724121094}",4.131232738494873
2,17.694189071655273,"{""step"": 1, ""energy"": 19.97610855102539}",4.1335608959198
3,15.86971378326416,"{""step"": 2, ""energy"": 17.694189071655273}",4.0957536697387695
4,14.803123474121094,"{""step"": 3, ""energy"": 15.86971378326416}",4.107314825057983
5,14.202871322631836,"{""step"": 4, ""energy"": 14.803123474121094}",4.108329772949219
6,13.804647445678711,"{""step"": 5, ""energy"": 14.202871322631836}",4.093946218490601
7,13.50657844543457,"{""step"": 6, ""energy"": 13.804647445678711}",4.115563631057739
8,13.269742012023926,"{""step"": 7, ""energy"": 13.50657844543457}",4.1109137535095215
9,13.074178695678711,"{""step"": 8, ""energy"": 13.269742012023926}",4.10772180557251
10,22.057029724121094,null,4.126891136169434
11,19.97610855102539,"{""step"": 0, ""energy"": 22.057029724121094}",4.100425720214844
12,17.694189071655273,"{""step"": 1, ""energy"": 19.97610855102539}",4.099218130111694
13,15.86971378326416,"{""step"": 2, ""energy"": 17.694189071655273}",4.12488579750061
14,14.803123474121094,"{""step"": 3, ""energy"": 15.86971378326416}",4.097848653793335
15,14.202871322631836,"{""step"": 4, ""energy"": 14.803123474121094}",4.103039741516113
16,13.804647445678711,"{""step"": 5, ""energy"": 14.202871322631836}",4.124547481536865
17,13.50657844543457,"{""step"": 6, ""energy"": 13.804647445678711}",4.0958027839660645
18,13.269742012023926,"{""step"": 7, ""energy"": 13.50657844543457}",4.102299928665161
19,13.074178695678711,"{""step"": 8, ""energy"": 13.269742012023926}",4.126838445663452
