iter,exp_value,best_result,iter_time
0,27.054567337036133,null,0.3588135242462158
1,26.9063720703125,"{""step"": 0, ""energy"": 27.054567337036133}",0.35577845573425293
2,26.75359535217285,"{""step"": 1, ""energy"": 26.9063720703125}",0.35110044479370117
3,26.593128204345703,"{""step"": 2, ""energy"": 26.75359535217285}",0.35090017318725586
4,26.42224884033203,"{""step"": 3, ""energy"": 26.593128204345703}",0.35382604598999023
5,26.238706588745117,"{""step"": 4, ""energy"": 26.42224884033203}",0.3493325710296631
6,26.040822982788086,"{""step"": 5, ""energy"": 26.238706588745117}",0.35887813568115234
7,25.827613830566406,"{""step"": 6, ""energy"": 26.040822982788086}",0.6949427127838135
8,25.598840713500977,"{""step"": 7, ""energy"": 25.827613830566406}",0.3533897399902344
9,25.354976654052734,"{""step"": 8, ""energy"": 25.598840713500977}",0.3503599166870117
