iter,exp_value,best_result,iter_time
0,31.266578674316406,null,0.02463698387145996
1,28.408491134643555,"{""step"": 0, ""energy"": 31.266578674316406}",0.0230715274810791
2,25.234315872192383,"{""step"": 1, ""energy"": 28.408491134643555}",0.02294611930847168
3,22.50872039794922,"{""step"": 2, ""energy"": 25.234315872192383}",0.022898197174072266
4,20.58487892150879,"{""step"": 3, ""energy"": 22.50872039794922}",0.022852182388305664
5,19.33013343811035,"{""step"": 4, ""energy"": 20.58487892150879}",0.022870540618896484
6,18.499950408935547,"{""step"": 5, ""energy"": 19.33013343811035}",0.02294754981994629
7,17.9175968170166,"{""step"": 6, ""energy"": 18.499950408935547}",0.02342367172241211
8,17.478822708129883,"{""step"": 7, ""energy"": 17.9175968170166}",0.022929668426513672
9,17.124181747436523,"{""step"": 8, ""energy"": 17.478822708129883}",0.02299189567565918
