iter,exp_value,best_result,iter_time
0,16.21583366394043,null,0.024883747100830078
1,16.17793083190918,"{""step"": 0, ""energy"": 16.21583366394043}",0.023018836975097656
2,16.146074295043945,"{""step"": 1, ""energy"": 16.17793083190918}",0.02291083335876465
3,16.11927604675293,"{""step"": 2, ""energy"": 16.146074295043945}",0.022930383682250977
4,16.096149444580078,"{""step"": 3, ""energy"": 16.11927604675293}",0.022915363311767578
5,16.075023651123047,"{""step"": 4, ""energy"": 16.096149444580078}",0.02289414405822754
6,16.054012298583984,"{""step"": 5, ""energy"": 16.075023651123047}",0.022861957550048828
7,16.031015396118164,"{""step"": 6, ""energy"": 16.054012298583984}",0.023401975631713867
8,16.003673553466797,"{""step"": 7, ""energy"": 16.031015396118164}",0.023049116134643555
9,15.969273567199707,"{""step"": 8, ""energy"": 16.003673553466797}",0.022927284240722656
