iter,exp_value,best_result,iter_time
0,15.839301109313965,null,0.0633089542388916
1,14.063218116760254,"{""step"": 0, ""energy"": 15.839301109313965}",0.060302019119262695
2,13.585939407348633,"{""step"": 1, ""energy"": 14.063218116760254}",0.057614803314208984
3,13.434870719909668,"{""step"": 2, ""energy"": 13.585939407348633}",0.05835390090942383
4,13.353370666503906,"{""step"": 3, ""energy"": 13.434870719909668}",0.05825924873352051
5,13.29841423034668,"{""step"": 4, ""energy"": 13.353370666503906}",0.05854678153991699
6,13.257287979125977,"{""step"": 5, ""energy"": 13.29841423034668}",0.05749678611755371
7,13.223834991455078,"{""step"": 6, ""energy"": 13.257287979125977}",0.0572202205657959
8,13.194662094116211,"{""step"": 7, ""energy"": 13.223834991455078}",0.05728721618652344
9,13.167854309082031,"{""step"": 8, ""energy"": 13.194662094116211}",0.057344913482666016
