iter,exp_value,best_result,iter_time
0,27.138500213623047,"""01100000""",1.3977839946746826
1,27.286298751831055,"""01100000""",1.3654706478118896
2,27.04759979248047,"""01100000""",1.4309401512145996
3,27.23110008239746,"""01100000""",1.5154261589050293
4,27.160999298095703,"""01100000""",1.3916327953338623
5,26.973499298095703,"""01100001""",1.394256591796875
6,27.039199829101562,"""01100001""",1.3712739944458008
7,27.02429962158203,"""01100000""",1.3160207271575928
8,27.10409927368164,"""01100011""",1.3962788581848145
9,27.025299072265625,"""01100011""",1.3885738849639893
